id,name,meta_description,headline_description,tags,short_description
2796aafa-9fa8-4163-b7ca-3dd13a65ece0,American Trail Mix (150g pack),"Buy American Trail Mix online – a crunchy, chewy, chocolatey blend of pretzels, nuts, seeds, raisins, and candy. The perfect balance of fun and fuel in every 150g pack. Ideal for snacking anytime!","Our very American Trail Mix is here to change the way you snack. Loaded with a hearty mix of everything nice we could get our hands on, it is THE ultimate treat in a bag. Here’s what’s inside:",Yummy,Salted pretzel knots Roasted peanuts Milk chocolate buttons Crunchy-sweet snacking trail mix
6a2d6762-6d55-40fb-9c03-aa68bd3bbaee,DIY Texture Painting Kit,"Unleash your creativity with the DIY Texture Painting Kit! Make textured canvas art in minutes using easy-to-mix paste and a guided video tutorial. Perfect for beginners, kids, and seasoned artists alike.

","Perfect for both beginners and experienced artists, this kit makes it easy to craft beautiful paintings with a unique, textured finish.
",DIY Kit,DIY Painting KitTextured for adults Creative Artistic texture Beginner-friendly art kit Hands-on art experiece finish
a752b103-8925-4440-84d9-2bbf4878a4a5,Taylor Swift Vinyl Record Posters,"Get your hands on Taylor Swift vinyl records posters with two free 12x12"" album art posters and a wall hook for easy display. Swap sides or showcase your collection in style—perfect for every Swiftie.","Real 12*12 vinyls from your favorite Taylor eras, now reimagined as wall art.",Aesthetic,Eras tour swiftie Repurposed Music-themed Aesthetic records Custom wall hangings Recycled vinyl Taylor Swift album lover
0cdd0bba-ed86-4bd0-8e1b-d63cfd7c10c3,Serve Pro Pickleball Paddle,"Level up with the Serve Pro Pickleball Paddle – built with premium T700 carbon fiber for power, control, and precision. Lightweight, 16mm core, enhanced sweet spot. Made in India, trusted by pros.

","Crafted with precision and designed for peak performance, our T700 Carbon Fiber Pickleball Paddle is a game-changer for players of all skill levels. Proudly made in India.

",Made in India|Pickleball,Pro-level High-performance pickleball paddle Lightweight Durable responsive fiberglass construction
73a2cc0f-8aa5-4c17-96bb-50d139a6c178,3D Printed Halo Lamp,"Illuminate your space with the Halo Lamp by One Good Object – a sculptural, minimalist lighting piece that blends form and function. Perfect for mood lighting, décor, or creative workspaces. Add a modern glow to your home. Shop now at Toastd.in!","Imagine a piece of lighting so sleek, it doesn’t just sit on your table—it poses",,minimalist designer table lamp 3D printed plant-based PLA Sustainable biodegradable Eco-friendly designer lighting
9bda648c-4408-4804-a62a-ea11d04b60e3,Cherry Bag Charm,"Make a playful statement with the Cherry Bag Charm Bag from Shop Guts. Featuring a bold cherry design, this fun-sized bag adds flavor to your outfit. Limited stock – shop now!

",Get your hands on red cherry aesthetic charm bag that goes with every outfit.,,Cherry bag charm purse keychain handbag accessory for women Stainless steel Tarnish-free Waterproof Hypoallergenic Durable
b8fdf1fd-3be3-48ba-a484-f54a78f3f0d1,STOP SIGN - AESTHETIC ROAD SIGNS,"Buy the Aesthetic STOP Sign and bring bold, urban vibes to your space. Made with traffic-grade materials, UV-resistant & retroreflective—perfect for edgy home or office decor.",This iconic red stop sign is more than just a piece of street art—it's a statement piece that blends functionality with bold aesthetics.,Aesthetic,Aesthetic stop sign wall décor decorative metal art Reflective road UV fade-resistant wall decoration
83ed881e-fef9-4c9d-bea8-1935f0b0025d,Kitsters – S.S. Sling Bag,"Upgrade your style with the Kitsters S/S Sling Bag. Lightweight, durable, and perfect for daily essentials, this trendy sling bag adds a chic touch to any outfit. Ideal for casual outings, travel, and everyday fashion. Available now at Toastd.in!","Compact yet spacious, this sleek sling bag is ideal for carrying your everyday must-haves. Designed for convenience and style, it complements every outfit and occasion.",DIY Kit,Switch Snap Sling Bag DIY kit Customizable sling bag system Beginners-friendly Eco-conscious designers & hobbyists
8d08ffb4-b532-421e-a9c7-0fdd8dd1a650,A Deo That Performes Under Intense Activities,"Smell fresh and feel confident all day with Supernova – a next-gen probiotic deodorant and body spray. Free from aluminum and parabens, it fights odor naturally without blocking pores. Infused with bold notes of bergamot, patchouli & musk. Designed for underarms and full-body use. Only at Toastd.in.",Clean and energizing scent as refreshing as a dip in a mountain stream,Probiotic|Aluminium & Paraben Free,Supernova Probiotic body spray deodorant Aluminum-free deodorant for athletes Active lifestyle
954631f1-4674-4615-8864-cfa0bc84f501,PERRY Tote Bag,"Perry by Tokiké channels old Bombay charm with a modern twist. This cream & blue tote features utility pockets, bold accents, and a heart of nostalgia—perfect for city souls in suburban skins.","No matter where Perry travels across the globe, Perry’s heart yearns for the bygone Bombay that today belongs in stories and forever in Perry’s memories of it.
Buy in 3 Colors.",Made in India|Unisex|Hand Made,PERRY cotton canvas Tokiké Bombay-inspired tote bag handbag sidebag Premium Waterproof inner lining
961b6965-47a5-4a8e-b643-619cb668597c, 2 Air Fiber Glass Paddles & 2 Balls,"Unleash your game with the Serve Air Pickleball Set—2 lightweight fiberglass paddles and 2 all-weather balls built for speed, spin, and serious durability. Perfect for beginners and rising champs. Grab yours now and dominate the court. 🏓🔥",Introducing the Ultimate Pickleball Starter Kit: Fiberglass Paddles & Balls.,Pickleball,Air Pickleball Paddle Fiberglass Beginner-friendly Lightweight Sports equipment
d44bb982-9ca1-46a8-b41b-26202209432e,Godpill Testosterone Supplement for Men (30 servings),"Buy Chamber of Gods Godpill – A powerful testosterone supplement for men with natural, science-backed ingredients. Supports muscle growth, boosts test levels, and causes no side effects.",The Strongest Natural Testosterone Booster.,Indian Supplement Brand|Muscle Building,Godpill testosterone booster for men Natural testosterone booster capsules Build muscle strength recovery aid
b0798fec-46de-48d9-a020-e2d9d8ece29b,3D Printed Poco Circle Lamp,"Buy the Poco Circle Lamp—biodegradable, design-forward lighting made from corn & sugarcane PLA. Warm LED glow, sculptural style, and vintage-meets-modern charm. Small form, max mood.",Poco Circle Lamp adds quiet sophistication to any side table—bedroom or living. Its sleek E14 LED base makes it the perfect finishing touch to your modern decor.,Recycled Materials|3-D Printed,Poco Circle Lamp table light Star Coral series Minimalist designer 3D-printed plant-based PLA Eco-conscious biodegradable
497538d9-b666-4718-b1d2-948041300bb8,Edulis Fungus Lamp,"Buy the Edulis Fungus Lamp – a soft-glow, sculptural piece inspired by nature. Blending art and illumination, it adds luxury and sophistication to any space. Perfect for unique, design-forward interiors.","Designed with the unique and delicate Edulis Fungus, this lamp adds a touch of sophistication to any room.",3-D Printed,White Mushroom-shaped Edulis fungus lighting Organic mushroom lamp Designer home decor table lamp
21915443-1d5b-4fc6-af87-d97694e18ea0,Dopamine Cookies (Box of 6),"Buy your new favourite coping mechanism: the Cookie Therapy Box. Six unique cookies—from Nutella Sea Salt to PB&J—crafted to match every mood. Comfort, hustle, or rebellion—there’s a cookie for that on Toastd.","Decadent cookies that are the perfect kind of Thick, Gooey and Chewy. Completely Vegetarian and Preservative-Free.",Homegrown Brand|Yummy,Dopamine in Cookies (Box of 6)
2605572f-c300-4f84-8d8b-31da950858ba,Clear Gut | Improves Gut Health | Pleasant Herbal Taste,"Say goodbye to bloating & bad cleanses. Clear Gut Drops use clean Ayurvedic ingredients to gently detox, improve digestion & boost gut health—87% felt better in just 1 week. Tastes great too!
","These drops have higher bioavailability, ensuring better absorption, which enhances the product's effectiveness and delivers faster results.",Gut Cleanser|Ayurveda,Ayurvedic Digestive Cleanse Detox Supplement Natural Clear Gut Health  Liquid Drops for Digestion Herbal Detox Ayurveda Gut Health Drops
b3ee9e94-0c2d-458c-b6bf-163201c9214b,"Original Indian Masala Chai | Bold Assam CTC Blend, Traditional Spice Harmony | 200g","Buy Guppy Moms Masala Chai—real Indian chai with bold spice, earthy depth & zero shortcuts. Small-batch, handcrafted, and full of ginger, clove & cinnamon warmth. This isn’t chai-flavored. This is chai.","No artificial colors, No preservatives, No artificial Flavours
Earth, Spicy and warm, with a sweet cinnamon finish.",No Sugar,"Masala Chai Premium Assam CTC blend Traditional spice harmony chai Assam tea granules Organically certified whole spices No artificial colors, flavors or preservatives 100% natural ingredients"
e8a9d0ba-5dcd-4052-b256-f37164a8f5d6,Sober & Co Sampler: Try All Our Flavours!,"Buy the Sober & Co Sampler and explore 8 bold, zero sugar beverages—from zesty Ginger Ale to spicy Spanish Margarita and tropical Caribbean Punch. Natural ingredients, unique flavors, perfect for sipping or mixing.","Experience the bold zest of our Zero Calorie Ginger Ale,  Zero Calorie Tonic Water,  Australian Sour and many more.",Alcohol Free|Shark Tank India|No Sugar,"Non-alcoholic beverage Zero added sugar, all-natural ingredients Ready-to-drink mocktails Unique flavour mixers for cocktails Sophisticated non-alcoholic options parties"
d56ab323-df96-45d5-a9ef-e28f6192c340,MAGMATE Classic - Fun Magnetic Game,"Buy the MAGMATE Classic Magnetic Game—24 magnetic stones, travel bag, lanyard & guide included. A fun, skill-based game of strategy for 1–4 players. Compact, travel-friendly & perfect for any occasion.","Magmate can be played anywhere, anytime. The objective is get rid of your magetic stones by taking turns placing your magnets inside the lanyard.",Kids|Magnets,"Fun Magnetic Magmate Classic magnetic board game Portable magnetic stone Tabletop STEM magnetic puzzle Includes 24 irregular hematite magnets, rope, travel pouch, guide"
391502e4-23a0-480a-9c42-90e3fe76e2eb,VINYL RECORDS - TRAVIS SCOTT Poster,"Buy Travis Scott vinyl records for wall decor featuring Astroworld, Rodeo & Birds in The Trap Sing McKnight. Used vinyls in excellent condition, perfect for aesthetic displays.","Featuring albums
Birds in The Trap Sing McKnight
Astroworld
Rodeo",Vintage,Travis Scott vinyl records décor wall-mounted art Birds-in-the-Trap-Sing-McKnight music-themed gallery
27a852d5-d9bb-446a-9651-635add3d9839,100% Ready to Eat Yummy Dips ,"Buy The Perfect Trio Dip Combo and savor bold flavors from Korea, Bhutan & China. Gochujang, Ema Datshi & Dochi dips in 3 x 200g packs—ready-to-eat, spicy, creamy, and full of umami. Perfect as dips or sides only on Toastd.","A harmonious combination of spicy, savory, and creamy flavors from Korea, Bhutan, and black bean.",International Flavors,"International dip trio Gochujang, Ema Datshi Dochi Black Bean Spicy-sweet Korean gochujang dip Cheesy bliss spicy green chilli kick Umami-laden Chinese Dochi black bean"
5708fc85-ea39-47dd-ba9a-876691994620,Dubai Bling Earrings,"Meet your blingy bestie! Our Dubai Bling Earrings are waterproof, hypoallergenic, and built to sparkle daily.

","Your Blingy Bestie & our Blingy Best-Seller!✨

",Non-Basic Bling,Dubai Bling Statement-Earrings Luxury Fashion Tarnish-Free Waterproof-Earring Hypoallergenic Stainless Steel PVD Plated Everyday Wear
1583f0d8-03dd-4148-9e46-c2a6f959e744,Nutella Sea Salt – The Cookie That Knows What You Need,"Buy the Nutella Sea Salt Cookie - your new edible therapist. Melty Nutella meets bold sea salt for warm, gooey, mood-lifting magic. Ready in 15 seconds. Lasts in your memory for days. Pure cookie healing on Toastd"," One cookie but it's enough. Decadent cookies that are the perfect kind of Thick, Gooey and Chewy. Completely Vegetarian and Preservative-Free.
",Homegrown Brand|Yummy,Nutella-filled cookie with sea salt Soft-baked No preservatives vegetarian treat refined butter brown sugar (1 cookie)
3bdd7dc8-26a7-4725-8d93-ae4896fa21f2,White Chocolate Macadamia Cookie ,"Buy the White Chocolate Macadamia Cookie—soft-baked with creamy white chocolate chunks and toasted macadamia nuts. A soothing, melt-in-your-mouth treat that brings calm with every bite.","One cookie but it's enough. Decadent cookies that are the perfect kind of Thick, Gooey and Chewy. Completely Vegetarian and Preservative-Free.
(Hyderabad ONLY- Get 2 cookies for this PRICE!)",Homegrown Brand|Yummy,White Chocolate Soft-baked macadamia nut Vegetarian Premium dessert Gourmet macadamia cookie snacks. (1 cookie)
b22f0953-8c5c-47ac-908b-6863a3ab006e,DIY Solar Printing Cyanotype Kit,"Explore the magic of UV-powered art with our DIY Cyanotype Kit! Learn the science of solar printing while making vivid blue prints using light-sensitive paper. Fun, educational, and perfect for all ages.

","Perfect for both kids and adults, this kit combines creativity with scientific principles to produce stunning blue prints through a unique and historical printing process.",DIY Kit,DIY Solar printing kit for beginners Cyanotype art kit for adults & kids STEM science meets art Chemistry learning craft Educational science & art DIY kit
